Gene,GE,CNA,DM,MutSig(Q-value),# Mut,#Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
ATM,0.804117571080992,0.5588066551921974,,22,22,499,4.4%,Yes
ATM,0.5218862891197205,0.3322494029998779,,22,22,499,4.4%,Yes
ATM,0.533543320002051,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.4563425606154463,0.5622489959839357,,22,22,499,4.4%,Yes
ATM,0.6500170578805999,0.5588066551921974,,22,22,499,4.4%,Yes
ATM,0.4496986173909882,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.1753356350174622,0.5565117613310384,,22,22,499,4.4%,Yes
ATM,0.8329646733253968,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.52204430103302,0.4559977352619171,,22,22,499,4.4%,Yes
ATM,0.2350447942422873,0.5519219736087206,,22,22,499,4.4%,Yes
ATM,0.7619243264198303,0.4986512064933777,,22,22,499,4.4%,Yes
ATM,0.6044267175048774,0.5536431440045898,,22,22,499,4.4%,Yes
ATM,0.6474868599631658,0.6201950659781985,,22,22,499,4.4%,Yes
ATM,0.693620631249007,0.5611015490533563,,22,22,499,4.4%,Yes
ATM,0.2130203545093536,0.4464185833930969,,22,22,499,4.4%,Yes
ATM,0.3244216352846818,0.5605278255880666,,22,22,499,4.4%,Yes
ATM,0.664329302553937,0.5593803786574871,,22,22,499,4.4%,Yes
ATM,0.6192297753109011,0.5593803786574871,,22,22,499,4.4%,Yes
ATM,0.5995561101377511,0.561675272518646,,22,22,499,4.4%,Yes
ATM,1.0,0.5542168674698795,,22,22,499,4.4%,Yes
ATM,0.5591246597322708,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.5942618250846863,0.6506530046463013,,22,22,499,4.4%,Yes
ATM,0.497211967818473,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.5601687431335449,0.6217494010925293,,22,22,499,4.4%,Yes
ATM,0.5485580756651882,0.5633964429145152,,22,22,499,4.4%,Yes
ATM,0.5108977379528565,0.1543316121629374,,22,22,499,4.4%,Yes
ATM,0.4508061408996582,0.4481231570243835,,22,22,499,4.4%,Yes
ATM,0.6461168145567586,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.651507556438446,0.6346359848976135,,22,22,499,4.4%,Yes
ATM,0.5105166590242121,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.6947686810438669,0.5588066551921974,,22,22,499,4.4%,Yes
ATM,0.6197063171456931,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.7422360805185333,0.5570854847963281,,22,22,499,4.4%,Yes
ATM,0.3487153021414122,0.5570854847963281,,22,22,499,4.4%,Yes
ATM,0.8260971973699949,0.5542168674698795,,22,22,499,4.4%,Yes
ATM,0.2356655796172613,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.6676552697616263,0.5611015490533563,,22,22,499,4.4%,Yes
ATM,0.5313292807730203,0.2857142857142857,,22,22,499,4.4%,Yes
ATM,0.6110742090278376,0.5593803786574871,,22,22,499,4.4%,Yes
ATM,0.7922012636198126,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.4053877790022175,0.5639701663798049,,22,22,499,4.4%,Yes
ATM,0.6789539541066816,0.5599541021227769,,22,22,499,4.4%,Yes
ATM,0.4131566882133484,0.5383605360984802,,22,22,499,4.4%,Yes
ATM,0.7305563069264527,0.5588066551921974,,22,22,499,4.4%,Yes
ATM,0.6989749670028687,0.6653323173522949,,22,22,499,4.4%,Yes
ATM,0.4907437563540386,0.555364314400459,,22,22,499,4.4%,Yes
